onsite              nnhop               ospair              nnpair              
1.08192             1.79516             0.0314409           0.0643038           
1.08191             1.79517             0.0314031           0.0641857           
1.08193             1.79522             0.0313665           0.0640693           
1.08176             1.79481             0.0313219           0.0639363           
1.08174             1.79477             0.0312837           0.0638181           
1.08143             1.79397             0.0312334           0.0636732           
1.08143             1.79398             0.0311967           0.0635565           
1.08142             1.79397             0.03116             0.0634398           
1.08145             1.79406             0.0311245           0.063327            
1.08148             1.79417             0.0310896           0.0632159           
1.08121             1.79347             0.0310421           0.0630765           
1.08112             1.79324             0.0310022           0.0629551           
